day,closing,alpha,f,yield
2020/10/30,3224.53,0.898136,-0.22691,-0.00644
2020/11/2,3225.12,0.656476,0.38837,0.0000795
2020/11/3,3271.07,3.71E-12,0.259661,0.006144
2020/11/4,3277.44,1.159013,-0.33213,0.000845
2020/11/5,3320.13,0.674942,0.010028,0.00562
2020/11/6,3312.16,0.247636,0.920163,-0.00104
2020/11/9,3373.73,0.637265,-0.41599,0.007999
2020/11/10,3360.15,0.575832,0.223264,-0.00175
2020/11/11,3342.2,0.319043,-0.24169,-0.00233
2020/11/12,3338.68,1.232393,-1.7048,-0.00046
2020/11/13,3310.1,0.867279,-1.00152,-0.00373
2020/11/16,3346.97,0.659317,-0.04089,0.004811
2020/11/17,3339.9,0.786298,-0.6822,-0.00092
2020/11/18,3347.3,0.82405,-0.54158,0.000961
2020/11/19,3363.09,0.143643,-0.15394,0.002044
2020/11/20,3377.73,1.638239,-1.03793,0.001886
2020/11/23,3414.49,0.479846,0.692726,0.004701
2020/11/24,3402.82,0.37344,-0.14837,-0.00149
2020/11/25,3362.33,0.63927,1.216568,-0.0052
2020/11/26,3369.73,9.53E-14,0.468385,0.000955
2020/11/27,3408.31,1.376725,-1.10342,0.004944
2020/11/30,3391.76,4.89E-16,0.432727,-0.00211
2020/12/1,3451.94,0.676984,-0.96207,0.007638
2020/12/2,3449.38,1.707434,-1.32649,-0.00032
2020/12/3,3442.14,1.712923,-1.15308,-0.00091
2020/12/4,3444.58,0.284399,-0.58469,0.000308
2020/12/7,3416.6,0.992846,0.23107,-0.00354
2020/12/8,3410.18,0.10045,0.859568,-0.00082
2020/12/9,3371.96,0.927553,0.026742,-0.00489
2020/12/10,3373.28,5.16E-11,-0.47623,0.00017
2020/12/11,3347.19,0.706699,-0.16257,-0.00337
2020/12/14,3369.12,1.018025,-0.65421,0.002836
2020/12/15,3367.23,0.791613,-0.94364,-0.00024
2020/12/16,3366.98,0.29736,0.146866,-0.000032
2020/12/17,3404.87,2.78E-17,0.314021,0.00486
2020/12/18,3394.9,0.239681,0.416092,-0.00127
2020/12/21,3420.57,0.908263,0.511345,0.003271
2020/12/22,3356.78,0.721955,0.123415,-0.00818
2020/12/23,3382.32,0.066069,0.506113,0.003292
2020/12/24,3363.11,0.687926,0.252415,-0.00247
2020/12/25,3396.56,4.32E-11,-0.05347,0.004298
2020/12/28,3397.29,0.647671,-0.18931,0.0000933
2020/12/29,3379.04,1.21092,-1.89013,-0.00234
2020/12/30,3414.45,0.470689,-1.00459,0.004527
2020/12/31,3473.07,0.164028,0.34215,0.007393
