,day,closing,alpha,f,yield,datetime
176,2019/9/24,2985.34,0.38060700000000003,0.378396,0.0012029999999999999,2019-09-24
177,2019/9/25,2955.43,1.191138,-0.97345,-0.004370000000000001,2019-09-25
178,2019/9/26,2929.09,0.858175,0.122672,-0.00389,2019-09-26
179,2019/9/27,2932.17,0.42292799999999997,0.6429239999999999,0.00045599999999999997,2019-09-27
180,2019/9/30,2905.19,9.93e-17,-0.0138,-0.0040100000000000005,2019-09-30
181,2019/10/8,2913.57,0.33091,-0.4931,0.001251,2019-10-08
182,2019/10/9,2924.86,0.089513,0.691358,0.00168,2019-10-09
183,2019/10/10,2947.71,0.656242,-0.03247,0.0033799999999999998,2019-10-10
184,2019/10/11,2973.66,0.339466,-0.07073,0.003807,2019-10-11
185,2019/10/14,3007.88,0.272363,0.132106,0.0049689999999999995,2019-10-14
186,2019/10/15,2991.05,0.6867409999999999,0.404008,-0.00244,2019-10-15
187,2019/10/16,2978.71,0.7087399999999999,0.225064,-0.0018,2019-10-16
188,2019/10/17,2977.33,0.5843010000000001,-0.41078000000000003,-0.0002,2019-10-17
189,2019/10/18,2938.14,0.024633000000000002,-0.23995999999999998,-0.00575,2019-10-18
190,2019/10/21,2939.62,1.22925,-0.6249,0.00021899999999999998,2019-10-21
191,2019/10/22,2954.38,0.742742,-0.66486,0.002175,2019-10-22
192,2019/10/23,2941.62,0.473429,0.35651900000000003,-0.0018800000000000002,2019-10-23
193,2019/10/24,2940.92,0.319307,-0.29465,-0.0001,2019-10-24
194,2019/10/25,2954.93,0.780435,-0.030930000000000003,0.002064,2019-10-25
195,2019/10/28,2980.05,0.354342,1.179017,0.003676,2019-10-28
196,2019/10/29,2954.18,0.007006999999999999,0.548541,-0.00379,2019-10-29
197,2019/10/30,2939.32,0.403754,-0.0903,-0.0021899999999999997,2019-10-30
198,2019/10/31,2929.06,2.38e-11,-0.57509,-0.0015199999999999999,2019-10-31
199,2019/11/1,2958.2,0.581344,-0.32827,0.004299,2019-11-01
200,2019/11/4,2975.49,1.150577,-1.21815,0.002531,2019-11-04
201,2019/11/5,2991.56,0.9776370000000001,-0.33311,0.002339,2019-11-05
202,2019/11/6,2978.6,2.04e-11,-0.24433000000000002,-0.0018899999999999998,2019-11-06
203,2019/11/7,2978.71,0.745053,-0.9953299999999999,1.6e-05,2019-11-07
204,2019/11/8,2964.18,0.864475,-1.5092299999999998,-0.00212,2019-11-08
205,2019/11/11,2909.97,1.4878559999999998,-1.20086,-0.008020000000000001,2019-11-11
206,2019/11/12,2914.82,1.170806,-1.21812,0.000723,2019-11-12
207,2019/11/13,2905.24,9.55e-14,-0.17578,-0.00143,2019-11-13
208,2019/11/14,2909.87,1.277056,-1.38364,0.000692,2019-11-14
209,2019/11/15,2891.34,0.471419,-0.39302,-0.00277,2019-11-15
210,2019/11/18,2909.2,9.470000000000001e-13,0.48222,0.0026739999999999997,2019-11-18
211,2019/11/19,2933.99,1.182592,-0.49401000000000006,0.0036850000000000003,2019-11-19
212,2019/11/20,2911.05,0.725749,-0.30680999999999997,-0.0034100000000000003,2019-11-20
213,2019/11/21,2903.64,0.270663,-0.33045,-0.0011099999999999999,2019-11-21
214,2019/11/22,2885.29,2.52e-10,-0.18572,-0.00275,2019-11-22
